song,artist,popularity
Wow.,Post Malone,99
E-Lo (feat. Jozzy),Los Unidades,67
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,98
Going Bad (feat. Drake),Meek Mill,95
Murder On My Mind,YNW Melly,94
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,93
a lot,21 Savage,92
Drip Too Hard (Lil Baby & Gunna),Lil Baby,91
Thotiana,Blueface,92
SICKO MODE,Travis Scott,94
Without Me,Halsey,97
Happier,Marshmello,97
ZEZE (feat. Travis Scott & Offset),Kodak Black,92
Mo Bamba,Sheck Wes,91
Lucid Dreams,Juice WRLD,91
SAD!,XXXTENTACION,92
Better Now,Post Malone,93
Better,Khalid,88
Money,Cardi B,89
Leave Me Alone,Flipp Dinero,89
Armed And Dangerous,Juice WRLD,88
Envy Me,Calboy,87
Look Back At It,A Boogie Wit da Hoodie,90
Moonlight,XXXTENTACION,91
when the party's over,Billie Eilish,92
Faucet Failure,Ski Mask The Slump God,88
lovely (with Khalid),Billie Eilish,92
High Hopes,Panic! At The Disco,94
Space Cadet (feat. Gunna),Metro Boomin,87
Wake Up in the Sky,Gucci Mane,89
Pure Cocaine,Lil Baby,86
Let Me Down Slowly,Alec Benjamin,93
rockstar (feat. 21 Savage),Post Malone,91
Eastside (with Halsey & Khalid),benny blanco,91
Nonstop,Drake,88
Shallow,Lady Gaga,96
Sweet but Psycho,Ava Max,97
Taste (feat. Offset),Tyga,90
MIA (feat. Drake),Bad Bunny,94
Yes Indeed,Lil Baby,85
Noticed,Lil Mosey,87
All Girls Are The Same,Juice WRLD,86
Be Alright,Dean Lewis,92
Calling My Spirit,Kodak Black,85
I Like It,Cardi B,90
Psycho (feat. Ty Dolla $ign),Post Malone,89
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,92
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,95
Nuketown (feat. Juice WRLD),Ski Mask The Slump God,84
YOSEMITE,Travis Scott,85
SLOW DANCING IN THE DARK,Joji,85
Fine China,Future,84
God's Plan,Drake,89
changes,XXXTENTACION,88
10 Freaky Girls (with 21 Savage),Metro Boomin,84
Look Alive (feat. Drake),BlocBoy JB,86
Beautiful Crazy,Luke Combs,83
Lean Wit Me,Juice WRLD,84
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,85
Beautiful (feat. Camila Cabello),Bazzi,88
This Feeling,The Chainsmokers,88
no tears left to cry,Ariana Grande,89
No Stylist,French Montana,87
whoa (mind in awe),XXXTENTACION,85
TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Tory Lanez,84
KIKA (feat. Tory Lanez),6ix9ine,87
"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,86
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,83
Falling Down - Bonus Track,Lil Peep,87
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,83
Mine,Bazzi,86
In My Feelings,Drake,88
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,89
Nice For What,Drake,86
Kamikaze,Lil Mosey,83
Act Up,City Girls,82
Topanga,Trippie Redd,82
Love Lies (with Normani),Khalid,85
The Middle,Zedd,88
Roses (with Juice WRLD feat. Brendon Urie),benny blanco,83
Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,82
Calma - Remix,Pedro Capó,97
monster,21 Savage,83
Hide (feat. Seezyn),Juice WRLD,83
Plug Walk,Rich The Kid,84
Slime Belief,YoungBoy Never Broke Again,80
1400 / 999 Freestyle,Trippie Redd,82
Close Friends (Lil Baby & Gunna),Lil Baby,82
breathin,Ariana Grande,86
Wasted (feat. Lil Uzi Vert),Juice WRLD,82
Walk,Comethazine,82
Lucky You (feat. Joyner Lucas),Eminem,86
Trip,Ella Mai,83
Candy Paint,Post Malone,84
Look Back At It,A Boogie Wit da Hoodie,82
you should see me in a crown,Billie Eilish,85
Youngblood,5 Seconds of Summer,87
Shallow - Radio Edit,Lady Gaga,89
Natural,Imagine Dragons,89
New Patek,Lil Uzi Vert,81
